0,150,22,213
1,151,24,215
2,152,88,238
3,153,94,124
4,154,37,264
5,155,34,218
6,156,57,197
7,157,24,246
8,158,94,101
9,159,39,167
10,160,14,210
11,161,21,246
12,162,23,134
13,163,54,128
14,164,56,215
15,165,59,128
16,166,34,146
17,167,39,145
18,168,47,230
19,169,82,124
20,170,34,217
21,171,88,247
22,172,90,124
23,173,30,134
24,174,21,157
25,175,10,134
26,176,13,250
27,177,18,240
28,178,15,243
29,179,14,284
30,180,16,249
31,181,17,248
32,182,19,124
33,183,12,148
34,184,11,137
35,185,20,129
36,186,10,210
37,187,21,219
38,188,24,134
39,189,22,197
40,190,23,154
41,191,15,197
42,192,18,134
43,193,14,178
44,194,19,127
45,200,10,161
46,201,14,134
47,202,19,124
48,203,17,187
49,204,19,179
50,205,20,134
51,206,24,209
52,207,22,214
53,208,23,230
54,209,21,249
55,210,37,146
56,211,91,189
57,212,82,146
58,213,46,173
59,214,67,189
60,215,87,179
61,216,64,164
62,217,37,146
63,218,38,162
64,219,99,169
65,220,27,159
66,221,46,137
67,222,67,129
68,223,52,147
69,224,64,138
70,225,28,147
71,226,18,187
72,227,97,178
73,228,28,129
74,229,46,157
75,230,45,159
76,231,44,147
77,232,34,134
78,233,11,133
79,234,10,109
80,235,19,104
81,236,46,108
82,237,84,178
83,238,79,157
84,239,46,153
85,240,42,124
86,241,34,111
87,242,34,134
88,243,67,187
89,244,87,177
90,245,67,135
91,246,64,124
92,247,24,129
93,248,34,144
94,249,32,139
95,257,97,199
96,258,76,204
97,260,58,207
98,261,64,247
99,262,68,128
100,263,64,244
101,264,37,189
102,290,87,127
103,291,67,129
104,292,15,248
105,293,64,143
106,294,59,175
107,295,45,128
108,296,35,127
109,297,67,178
110,298,81,127
111,501,93,236
112,502,31,148
113,503,67,249
114,504,69,148
115,505,87,147
116,506,64,189
117,507,68,172
118,508,54,134
119,509,69,158
120,510,67,129
121,511,15,144
122,512,23,230
123,513,37,246
124,521,43,217
125,522,94,245
126,523,54,247
127,524,67,178
128,525,13,197
129,526,66,245
130,527,34,202
131,528,97,107
132,529,46,132
133,530,34,118
134,541,15,109
135,542,36,145
136,543,24,109
137,544,36,157
138,545,38,172
139,546,34,167
140,561,58,197
141,562,39,166
142,563,77,167
143,564,75,143
144,581,24,176
145,582,29,137
146,583,64,127
147,584,21,138
148,585,58,159
149,586,50,212
150,587,90,238
151,588,67,248
152,589,99,218
153,590,34,208
154,601,94,100
155,602,68,210
156,603,69,200
157,604,37,238
158,605,58,179
159,606,39,128
160,607,34,129
161,608,39,127
162,609,34,137
163,610,29,129
164,611,24,227
165,612,22,127
166,613,50,129
167,614,89,129
168,615,83,247
169,616,24,197
170,621,34,178
171,622,67,179
172,623,46,214
173,624,24,170
174,625,38,217
175,626,43,219
176,627,78,134
177,628,71,104
178,629,60,109
179,630,67,147
180,631,97,128
181,632,65,129
182,641,40,127
183,642,58,189
184,643,57,124
185,644,59,129
186,645,24,137
187,646,21,124
188,647,60,137
189,648,60,134
190,649,71,149
191,650,48,172
192,651,28,167
193,652,34,169
194,653,39,147
195,654,28,169
196,655,21,159
197,656,29,134
198,661,28,167
199,662,18,159
200,663,18,147
201,664,29,169
202,665,34,157
203,666,28,149
204,667,29,167
205,668,17,200
206,669,19,204
207,670,17,185
208,671,26,247
209,672,24,239
210,673,37,206
211,674,34,109
212,675,38,145
213,676,45,169
214,677,67,147
215,678,85,107
216,679,68,128
217,680,61,127
218,681,67,210
219,682,55,228
220,683,70,208
221,684,14,187
222,685,10,237
223,686,39,179
224,687,24,134
225,688,69,169
226,689,34,204
227,690,39,206
228,691,31,128
229,692,39,237
230,693,34,248
231,694,58,107
232,695,57,108
233,696,59,157
234,697,34,129
235,698,34,187
236,2501,90,142
237,2502,47,180
238,2503,24,157
239,2504,25,178
240,2505,67,185
241,2506,48,157
242,2507,67,156
243,2508,44,156
244,2509,24,227
245,2510,77,187
246,2511,27,207
247,2512,41,241
248,2513,24,220
249,2521,28,207
250,2522,27,140
251,2523,45,212
252,2524,42,211
253,2525,52,178
254,2526,22,254
255,2527,48,176
256,2528,71,194
257,2529,21,245
258,2530,28,241
259,2541,12,118
260,2542,28,140
261,2543,97,197
262,2544,54,187
263,2545,94,245
264,2546,27,210
265,2561,45,167
266,2562,27,221
267,2563,75,167
268,2564,20,124
269,2581,27,242
270,2582,97,142
271,2583,25,112
272,2584,64,127
273,2585,46,197
274,2586,67,174
275,2587,24,121
276,2588,24,207
277,2589,27,177
278,2590,17,197
279,2601,97,175
280,2602,54,204
281,2603,59,245
282,2604,28,240
283,2605,59,249
284,2606,37,146
285,2607,79,195
286,2608,27,229
287,2609,97,254
288,2610,27,124
289,2611,97,154
290,2612,77,124
291,2613,67,245
292,2614,61,170
293,2615,34,156
294,2616,67,178
295,2621,61,204
296,2622,10,117
297,2623,20,170
298,2624,22,134
299,2625,57,197
